未分类,#genre#
广东珠江,http://yzfvip.top:8000/rtp/239.77.0.1:5146
广东珠江,http://157.122.177.10:9901/tsfile/live/1007_1.m3u8
凤凰资讯,rtmp://playtv-live.ifeng.com/live/06OLEEWQKN4
凤凰资讯,http://playback.8ne5i.10.vs.rxip.sc96655.com/live/test2_4000.m3u8
凤凰资讯,http://xstartx.com:4000/udp/239.93.0.118:2191
凤凰中文,rtmp://playtv-live.ifeng.com/live/06OLEGEGM4G
凤凰中文,http://playback.8ne5i.10.vs.rxip.sc96655.com/live/test1_4000.m3u8
凤凰中文,http://xstartx.com:4000/udp/239.93.1.9:2192
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,https://cdn.hklive.tv/xxxx/81/index.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻,https://cdn.hklive.tv/xxxx/83/index.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=1
功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
有线新闻,http://107.151.203.111:2209/135/hk.php?id=cable37h
CCTV4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4中文国际,http://183.65.9.200:8888/udp/235.254.199.183:7980
CCTV4中文国际,http://wh.re168.com:8089/udp/239.69.1.138:10466
CCTV4中文国际,http://chuangye168.gnway.org:56994/g8dyou.php?id=CCTV-4HD_7500
CCTV5体育,http://183.65.9.200:8888/udp/235.254.199.54:7980
CCTV5体育,http://39.134.136.138:6610/000000001000/6000000001000016431/index.m3u8?channel-id=wasusyt&Contentid=6000000001000016431&livemode=1&stbId=3
CCTV5体育,http://chuangye168.gnway.org:56994/g8dyou.php?id=1605_4500
CCTV5体育,http://wh.re168.com:8089/udp/239.69.1.123:10376
CCTV5+体育赛事,http://183.65.9.200:8888/udp/235.254.199.121:7980
CCTV5体育赛事,http://39.134.136.138:6610/000000001000/6000000001000015875/index.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=3
CCTV5+体育赛事,http://wh.re168.com:8089/udp/239.254.96.234:9484
CCTV5+体育赛事,http://chuangye168.gnway.org:56994/g8dyou.php?id=1403_4500
CCTV16奥林匹克,http://39.134.136.138:6610/000000001000/1000000006000233001/index.m3u8?channel-id=ystenlive&Contentid=1000000006000233001&livemode=1&stbId=3
CCTV16奥林匹克,http://119.167.231.173/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012375003.m3u8
广东体育,http://yzfvip.top:8000/rtp/239.77.0.112:5146
广东体育,http://r.jdshipin.com/LiYdg
广东体育,http://183.63.15.42:9901/tsfile/live/1001_1.m3u8
广州竞赛,https://justsometime.gztv.com/sec/jingsai.m3u8
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
